pam50_class	matrix_column	coefficient_sum	coefficient_sum_squares	absolute_coefficient_sum	selected_fold_count	nonzero_fold_count	positive_fold_count	negative_fold_count	mean_coefficient_including_zeros	mean_absolute_coefficient_including_zeros	coefficient_sd_including_zeros	sign_consistency	gene_id	gene_id_without_version	gene_name	gene_type	top20_outer_fold_count	top20_outer_fold_frequency	direction	direction_rank
Luminal B	16961	-0.25655533093959093	0.05844693793620893	0.25655533093959093	5.0	2.0	0.0	2.0	-0.05131106618791818	0.05131106618791818	0.10639879037083119	1.0	ENSG00000189431.8	ENSG00000189431	RASSF10	protein_coding	1.0	0.2	negative	16
Luminal B	17207	-0.2425422072410583	0.029575192331679365	0.2425422072410583	5.0	2.0	0.0	2.0	-0.04850844144821166	0.04850844144821166	0.06672677100123771	1.0	ENSG00000196754.13	ENSG00000196754	S100A2	protein_coding	1.0	0.2	negative	17
Luminal B	7759	-0.2335598617792129	0.05455020903432503	0.2335598617792129	5.0	1.0	0.0	1.0	-0.04671197235584258	0.04671197235584258	0.10445114555075499	1.0	ENSG00000139044.12	ENSG00000139044	B4GALNT3	protein_coding	1.0	0.2	negative	18
Luminal B	7032	-0.2326938901096581	0.0363149056238924	0.2326938901096581	5.0	3.0	0.0	3.0	-0.04653877802193162	0.04653877802193162	0.07982107542031	1.0	ENSG00000135226.18	ENSG00000135226	UGT2B28	protein_coding	0.0	0.0	negative	19
Luminal B	730	-0.2309096995741128	0.045753533515724226	0.2309096995741128	5.0	2.0	0.0	2.0	-0.04618193991482256	0.04618193991482256	0.09366119212918819	1.0	ENSG00000054598.9	ENSG00000054598	FOXC1	protein_coding	0.0	0.0	negative	20
Basal-like	730	2.828331023454666	1.6580520599768684	2.828331023454666	5.0	5.0	5.0	0.0	0.5656662046909332	0.5656662046909332	0.1205827354243185	1.0	ENSG00000054598.9	ENSG00000054598	FOXC1	protein_coding	5.0	1.0	positive	1
Basal-like	17835	0.5212243646383283	0.05610849427915349	0.5212243646383283	5.0	5.0	5.0	0.0	0.10424487292766567	0.10424487292766567	0.02105662971980364	1.0	ENSG00000198729.5	ENSG00000198729	PPP1R14C	protein_coding	5.0	1.0	positive	2
Basal-like	2904	0.457100190222263	0.043074840504331184	0.457100190222263	5.0	5.0	5.0	0.0	0.0914200380444526	0.0914200380444526	0.017935465731932998	1.0	ENSG00000104332.12	ENSG00000104332	SFRP1	protein_coding	5.0	1.0	positive	3
Basal-like	16129	0.4473392292857169	0.08583462781819633	0.4473392292857169	3.0	3.0	3.0	0.0	0.08946784585714337	0.08946784585714337	0.10701886586790257	1.0	ENSG00000186007.10	ENSG00000186007	LEMD1	protein_coding	3.0	0.6	positive	4
Basal-like	16832	0.2709507839754222	0.05577884298227535	0.2709507839754222	5.0	3.0	3.0	0.0	0.054190156795084446	0.054190156795084446	0.10136071417824583	1.0	ENSG00000188910.8	ENSG00000188910	GJB3	protein_coding	2.0	0.4	positive	5
